CarrotLambda,CarrotAbs,TomatoLambda,TomatoAbs,SpinachLambda,SpinachAbs
650.0147095,0.015401055,650.0147095,0.041500062,650.0147095,0.063158602
648.9924927,0.015214023,648.9924927,0.041201506,648.9924927,0.059934836
648.0064697,0.015553261,648.0064697,0.040673062,648.0064697,0.057452288
646.9835815,0.016195854,646.9835815,0.040957257,646.9835815,0.054962195
645.9970093,0.016061528,645.9970093,0.041076463,645.9970093,0.052750714
645.0101318,0.016084574,645.0101318,0.04133644,645.0101318,0.051398288
643.9863892,0.015867766,643.9863892,0.041478645,643.9863892,0.05024432
642.9989624,0.01577751,642.9989624,0.041115701,642.9989624,0.048902765
642.0112305,0.016094353,642.0112305,0.04150556,642.0112305,0.047872119
640.9865723,0.016089141,640.9865723,0.041274119,640.9865723,0.04664728
639.998291,0.016028006,639.998291,0.041594461,639.998291,0.046143979
639.0097046,0.016043289,639.0097046,0.042022903,639.0097046,0.044765878
637.9841919,0.015981944,637.9841919,0.041916065,637.9841919,0.044207718
636.9950562,0.015719665,636.9950562,0.042022388,636.9950562,0.04358948
636.0055542,0.015549826,636.0055542,0.042020023,636.0055542,0.042792372
635.0158691,0.015809964,635.0158691,0.041988511,635.0158691,0.042314488
633.9891968,0.015386063,633.9891968,0.042047311,633.9891968,0.041627966
632.9989014,0.015340177,632.9989014,0.04141292,632.9989014,0.041601725
632.0083618,0.015703185,632.0083618,0.041041866,632.0083618,0.041283883
631.0175171,0.015809454,631.0175171,0.041013356,631.0175171,0.041186366
629.9896851,0.015978212,629.9896851,0.040574286,629.9896851,0.041123956
628.998291,0.016428204,628.998291,0.040307496,628.998291,0.041149028
628.0065308,0.016516767,628.0065308,0.040217042,628.0065308,0.041295614
627.0146484,0.016365193,627.0146484,0.04026245,627.0146484,0.041702956
625.9856567,0.016187122,625.9856567,0.040626016,625.9856567,0.042087924
624.993042,0.016173903,624.993042,0.041182496,624.993042,0.04247437
624.0003052,0.016208107,624.0003052,0.041712701,624.0003052,0.042498607
623.0072632,0.016035821,623.0072632,0.041851126,623.0072632,0.04295386
622.013916,0.016068941,622.013916,0.042590767,622.013916,0.043336131
620.9835205,0.016035553,620.9835205,0.04266724,620.9835205,0.043799851
619.989563,0.016018497,619.989563,0.042108256,619.989563,0.044151805
618.9954834,0.016389439,618.9954834,0.042530153,618.9954834,0.044572018
618.0009155,0.015971417,618.0009155,0.042012807,618.0009155,0.044831943
617.0062256,0.016150851,617.0062256,0.042423707,617.0062256,0.044894461
616.0112915,0.016247151,616.0112915,0.042610385,616.0112915,0.045248251
615.0160522,0.016054006,615.0160522,0.042429157,615.0160522,0.04529985
613.9836426,0.015949503,613.9836426,0.042561129,613.9836426,0.045303985
612.987854,0.016242422,612.987854,0.043305442,612.987854,0.045168422
611.9917603,0.016205259,611.9917603,0.042712364,611.9917603,0.044975761
610.9954224,0.016155498,610.9954224,0.042877737,610.9954224,0.044800028
609.9987793,0.016064268,609.9987793,0.042814169,609.9987793,0.044842735
609.0018921,0.015602577,609.0018921,0.042776059,609.0018921,0.044654809
608.0047607,0.015698327,608.0047607,0.043244213,608.0047607,0.044667233
607.0073853,0.015601208,607.0073853,0.043127358,607.0073853,0.043881979
606.0097046,0.015280595,606.0097046,0.043512128,606.0097046,0.043455992
605.0117188,0.014950813,605.0117188,0.043342225,605.0117188,0.04310257
604.0134888,0.014963513,604.0134888,0.043557998,604.0134888,0.042672753
603.0150757,0.015070593,603.0150757,0.043413509,603.0150757,0.042225469
602.0162964,0.015410041,602.0162964,0.043133188,602.0162964,0.041615602
601.0172729,0.015606763,601.0172729,0.043161351,601.0172729,0.041161265
600.0180054,0.016005874,600.0180054,0.043720774,600.0180054,0.04044218
599.0184937,0.015930571,599.0184937,0.04344555,599.0184937,0.039805245
597.9816895,0.015845831,597.9816895,0.042762864,597.9816895,0.039283056
596.9816284,0.015433268,596.9816284,0.042763576,596.9816284,0.039332535
596.0183105,0.015312798,596.0183105,0.042979322,596.0183105,0.038677499
595.0177002,0.01510136,595.0177002,0.042667039,595.0177002,0.038341179
594.0169067,0.014961235,594.0169067,0.043070439,594.0169067,0.038119499
593.0158081,0.014939561,593.0158081,0.043307044,593.0158081,0.037812386
592.0144043,0.015255392,592.0144043,0.04373778,592.0144043,0.037920307
591.0128174,0.015110419,591.0128174,0.04380824,591.0128174,0.037720416
590.0109253,0.015112724,590.0109253,0.043660976,590.0109253,0.037564531
589.0088501,0.015035513,589.0088501,0.043332472,589.0088501,0.037492901
588.0063477,0.015013164,588.0063477,0.04313739,588.0063477,0.037400492
587.0037231,0.014680211,587.0037231,0.042988952,587.0037231,0.037673917
586.0007935,0.0150014,586.0007935,0.043014389,586.0007935,0.037855059
